% Model:              poly_cp_WithResults.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 21 2021, 10:33
% Dimension:          3
% Nodes:              7402
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Color
3.000000000000006E-7      6.000000000000001E-9     0                        1.2200373469994773E-12
2.400000000000006E-7      6.000000000000001E-9     0                        1.0161806502329323E-12
2.4E-7                    0                        0                        1.0262356747709253E-12
3.0000000000000126E-7     1.2000000000000002E-8    0                        1.2078769670359117E-12
2.400000000000012E-7      1.2000000000000002E-8    0                        1.0065992854759389E-12
1.800000000000006E-7      6.000000000000001E-9     0                        7.922746707785415E-13
1.8E-7                    0                        0                        7.997506801099622E-13
3.000000000000019E-7      1.8000000000000002E-8    0                        1.1961902468533463E-12
2.400000000000019E-7      1.8000000000000002E-8    0                        9.974915804999454E-13
1.8000000000000124E-7     1.2000000000000002E-8    0                        7.852723212281201E-13
1.200000000000006E-7      6.000000000000001E-9     0                        5.483194086363054E-13
1.2E-7                    0                        0                        5.53216402761154E-13
3.0000000000000253E-7     2.4000000000000003E-8    0                        1.1849771864517797E-12
2.400000000000025E-7      2.4000000000000003E-8    0                        9.88857535304952E-13
1.800000000000019E-7      1.8000000000000002E-8    0                        7.787436314586992E-13
1.2000000000000126E-7     1.2000000000000002E-8    0                        5.438960742924564E-13
6.000000000000063E-8      6.000000000000001E-9     0                        2.843148638062233E-13
5.999999999999998E-8      0                        0                        2.8663284272449934E-13
2.7883231948834426E-7     0                        3.724164001832747E-8     8.801967599014582E-13
2.1883231948834428E-7     0                        3.724164001832747E-8     6.791294800051706E-13
1.5883231948834424E-7     0                        3.724164001832747E-8     4.580129174210373E-13
9.883231948834426E-8      0                        3.724164001832747E-8     2.168470721490586E-13
3.8832319488344285E-8     0                        3.724164001832747E-8     -4.436805581076591E-14
2.576646389766886E-7      0                        7.448328003665494E-8     5.346225982062923E-13
1.9766463897668852E-7     0                        7.448328003665494E-8     3.389237503868345E-13
1.3766463897668856E-7     0                        7.448328003665494E-8     1.231756198795307E-13
7.766463897668857E-8      0                        7.448328003665494E-8     -1.1262179331561808E-13
2.3649695846503285E-7     0                        1.1172492005498241E-7    1.9594890165854568E-13
1.7649695846503284E-7     0                        1.1172492005498241E-7    5.618485915917456E-15
1.1649695846503285E-7     0                        1.1172492005498241E-7    -2.047612125145565E-13
2.1532927795337712E-7     0                        1.4896656007330989E-7    -1.3582432974178304E-13
1.5532927795337714E-7     0                        1.4896656007330989E-7    -3.207863134075813E-13
3.0E-7                    0                        0                        1.232671386744043E-12
3.0000000000000316E-7     3.0000000000000004E-8    0                        1.1742377858312138E-12
0                         0                        0                        0
1.9416159744172142E-7     0                        1.8620820009163735E-7    -4.606970959946922E-13
6.000000000000063E-8      1.2000000000000002E-8    0                        2.822703681463475E-13
0                         6.0E-9                   0                        2.34581864792299E-17
6.000000000000063E-8      1.8000000000000002E-8    0                        2.802141433932319E-13
0                         1.2E-8                   0                        3.5187279718844853E-17
6.000000000000063E-8      2.4E-8                   0                        2.7814618954687675E-13
0                         1.8E-8                   0                        3.5187279718844853E-17
6.000000000000063E-8      3.0000000000000004E-8    0                        2.760665066072821E-13
0                         2.4E-8                   0                        2.345818647922989E-17
